date,model,alpha,pinball_loss
2024-01-10,gas_vine,0.01,0.00011052935592710726
2024-01-11,gas_vine,0.01,0.00013755164319094088
2024-01-12,gas_vine,0.01,0.0001585848302175302
2024-01-16,gas_vine,0.01,0.0032362333767223107
2024-01-17,gas_vine,0.01,4.413921878398178e-05
2024-01-18,gas_vine,0.01,0.000164634135753894
2024-01-19,gas_vine,0.01,0.00016518154621557792
2024-01-22,gas_vine,0.01,0.00011673284174748368
2024-01-23,gas_vine,0.01,0.00013890776470286883
2024-01-24,gas_vine,0.01,0.00012832507743065237
2024-01-25,gas_vine,0.01,0.00014991760494191227
2024-01-26,gas_vine,0.01,0.00011646437101584544
2024-01-29,gas_vine,0.01,0.00016289119546406946
2024-01-30,gas_vine,0.01,9.763986499216393e-05
2024-01-31,gas_vine,0.01,0.00010191616037299943
2024-02-01,gas_vine,0.01,0.00019853447236304356
2024-02-02,gas_vine,0.01,3.216192672729859e-05
2024-02-05,gas_vine,0.01,5.1766306452875316e-05
2024-02-06,gas_vine,0.01,0.00020581111573706528
2024-02-07,gas_vine,0.01,0.00011537363144539395
2024-02-08,gas_vine,0.01,7.010480538570202e-05
2024-02-09,gas_vine,0.01,0.00010641996287696716
2024-02-12,gas_vine,0.01,0.00011749435169743757
2024-02-13,gas_vine,0.01,0.001893413272559936
2024-02-14,gas_vine,0.01,0.00018954612864367554
2024-02-15,gas_vine,0.01,0.00018712733207382404
2024-02-16,gas_vine,0.01,0.000143902951369097
2024-02-20,gas_vine,0.01,0.00015796455375929747
2024-02-21,gas_vine,0.01,0.00010812008629420746
2024-02-22,gas_vine,0.01,0.00016301174303489554
2024-02-23,gas_vine,0.01,0.00015164728731946516
2024-02-26,gas_vine,0.01,0.00010011116865725104
2024-02-27,gas_vine,0.01,0.00011562938220241688
2024-02-28,gas_vine,0.01,9.803717523234569e-05
2024-02-29,gas_vine,0.01,0.00014363157286925978
2024-03-01,gas_vine,0.01,0.00021021001174086325
2024-03-04,gas_vine,0.01,0.00012091572142674956
2024-03-05,gas_vine,0.01,0.00013793541259172177
2024-03-06,gas_vine,0.01,0.00019609626712003108
2024-03-07,gas_vine,0.01,0.0001931794016319547
2024-03-08,gas_vine,0.01,0.00012957808880485153
2024-03-11,gas_vine,0.01,0.000113374212621537
2024-03-12,gas_vine,0.01,0.00013063304939143236
2024-03-13,gas_vine,0.01,0.00011460766335490494
2024-03-14,gas_vine,0.01,4.597913518467257e-05
2024-03-15,gas_vine,0.01,0.00010440627370609874
